"ndc","rxcui","va"
"00121072104",310386,"CN609"
"00121075908",283077,"HS051"
"00121077216",856940,"CN101"
"00121077504",995868,"RE301"
"00121077516",995868,"RE301"
"00121085416",208406,"AM650"
"00121086802",312055,"AM700"
"00121086816",312055,"AM700"
"00121087316",391937,"GA202"
"00121088508",283077,"HS051"
"00121089316",834127,"OR500"
"00121090204",312614,"HS051"
"00121092716",992432,"AH100"
"00121093304",1357010,"RE502"
"00121093316",1357010,"RE502"
"00126007492",630194,"OR100"
"00143-9249-20",562508,"AM111"
"00143-9726-01",835840,"HS100"
"00143-9928-01",309309,"AM400"
"00143122701",991086,"AU350"
"00143122710",991086,"AU350"
"00143124110",197606,"CV050"
"00143211205",1650143,"AM250"
"00143211250",1650143,"AM250"
"00143301801",1550940,"MS400"
"00143312601",991061,"AU350"
"00143312610",991061,"AU350"
"00143314150",1649405,"AM250"
"00143924920",562508,"AM111"
"00143928501",308194,"AM111"
"00143928520",308194,"AM111"
"00143951910",1655960,"AN300"
"00143962125",309594,"VT101"
"00143965901",2047882,"HS100"
"00143972501",312644,"HS800"
"00143972601",835840,"HS100"
"00143973810",312615,"HS051"
"00143980250",1649405,"AM250"
"00143980305",1649988,"AM250"
"00143980350",1649988,"AM250"
"00143983601",834102,"AM110"
"00143983610",834102,"AM110"
"00143985316",617993,"AM111"
"00143985375",617993,"AM111"
"00143988601",313850,"AM111"
"00143988701",308189,"AM111"
"00143988750",308189,"AM111"
"00143988775",308189,"AM111"
"00143988815",313797,"AM111"
"00143988901",239191,"AM111"
"00143988915",239191,"AM111"
"00143988980",239191,"AM111"
"00143992701",197511,"AM400"
"00143992801",309309,"AM400"
"00143992950",197512,"AM400"
"00143993905",308191,"GA303"
"00143993905",308191,"AM111"
"00143998175",617423,"AM111"
"00143998250",617430,"AM111"
"00143998275",617430,"AM111"
"00168-0004-80",1014314,"DE200"
"00168-0268-15",848180,"DE200"
"00168000215",1085686,"DE200"
"00168000315",1085644,"DE200"
"00168000380",1085644,"DE200"
"00168000415",1014314,"DE200"
"00168000480",1014314,"DE200"
"00168000580",1085633,"DE200"
"00168000615",1085636,"DE200"
"00168000616",1085636,"DE200"
"00168000680",1085636,"DE200"
"00168001531",106258,"DE200"
"00168002031",203105,"DE200"
"00168003315",197409,"DE200"
"00168004160",197408,"DE200"
"00168005515",238920,"DE200"
"00168005760",240209,"DE200"
"00168008016",310891,"DE200"
"00168008031",310891,"DE200"
"00168009915",203088,"DE102"
"00168009930",203088,"DE102"
"00168009960",203088,"DE102"
"00168014630",103401,"DE200"
"00168016215",861448,"DE200"
"00168016330",861495,"DE200"
"00168016346",861495,"DE200"
"00168016360",861495,"DE200"
"00168020130",309333,"DE752"
"00168020160",309333,"DE752"
"00168020260",309332,"DE752"
"00168020360",197519,"DE752"
"00168025815",308714,"DE250"
"00168025846",308714,"DE250"
"00168026460",855480,"DE200"
"00168026730",848178,"DE200"
"00168026815",848180,"DE200"
"00168026850",848180,"DE200"
"00168027740",309337,"GU300"
"00168030115",1992281,"DE200"
"00168030915",204135,"DE200"
"00168030960",204135,"DE200"
"00168032346",311678,"DE752"
"00168033230",895987,"DE200"
"00168033260",895987,"DE200"
"00168034646",313226,"GU300"
"00168034720",313227,"GU300"
"00168035550",977990,"DE200"
"00168035730",197877,"DE700"
"00168035756",197877,"DE700"
"00168041630",314266,"DE820"
"00168041699",314266,"DE820"
"00168041730",313189,"DE820"
"00168042446",313852,"DE752"
"00169-4130-13",2398842,"HS509"
"00169-4772-12",2599365,"HS509"
"00169183311",311033,"HS501"
